commit,parent1,parent2,ancestor,is pr,added lines,deleted lines,devs parent1,devs parent2,time,nr files,added files,deleted files,renamed files,copied files,modified files,nr commits1,nr commits2,density1,density2,fix,bug,feature,improve,document,refactor,update,add,remove,use,delete,change,messages_min,messages_max,messages_mean,messages_median,conflict,avg_density,avg_density_cat,added_lines_per_commit,deleted_lines_per_commit,files_per_commit,files_per_developer,messages_per_commit,commit_per_developer_on_branch1,commit_per_developer_on_branch2
15882,12087,22836,7245,0,398,2,1,1,4,1,13,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,57,57,57.0,57.0,1,0.0,,132.66666666666666,0.6666666666666666,0.3333333333333333,0.5,19.0,1.0,2.0
8321,9936,9750,6828,0,0,0,1,2,1,1,0,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,57,39.5,39.5,1,0.0,,0.0,0.0,0.3333333333333333,0.3333333333333333,13.166666666666666,1.0,1.0
9686,25053,20894,11361,0,4965,3360,3,1,95,21,4,2,1,0,45,65,39,0,33,58,17,0,1,4,0,9,21,5,11,0,18,35,779,151.17435897435897,112.0,1,16.5,3,47.74038461538461,32.30769230769231,0.20192307692307693,5.25,1.4535996055226823,21.666666666666668,39.0
16170,24765,20732,17187,1,18,22,2,1,1,1,0,0,0,0,9,6,1,0,0,2,0,0,0,0,0,0,0,1,3,0,0,77,100,94.0,97.0,0,0.0,,2.5714285714285716,3.142857142857143,0.14285714285714285,0.3333333333333333,13.428571428571429,3.0,1.0
17518,9316,22852,16000,1,1,1,2,1,12,1,0,0,0,0,1,8,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,55,90,73.375,72.0,0,0.0,,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,8.152777777777779,4.0,1.0
21828,25472,1622,8064,0,151,2,1,8,110,14,1,0,0,0,1,1,33,1,31,0,0,0,0,0,0,5,2,1,0,0,0,14,81,36.18181818181819,25.0,0,16.0,3,4.4411764705882355,0.058823529411764705,0.4117647058823529,1.5555555555555556,1.0641711229946527,1.0,4.125
2850,9611,26070,4059,1,3,1,60,1,53,1,0,0,0,0,1,380,1,25,1,77,7,4,2,7,0,29,58,6,34,1,13,89,207,130.33947368421053,130.0,0,13.0,3,0.007874015748031496,0.0026246719160104987,0.0026246719160104987,0.01639344262295082,0.34209835612653683,6.333333333333333,1.0
11115,7003,24311,11909,1,63,4,9,2,519,2,0,0,0,0,3,17,7,0,0,6,0,0,0,0,0,4,0,2,1,0,1,49,136,82.57142857142857,69.0,0,0.0,,2.625,0.16666666666666666,0.08333333333333333,0.18181818181818182,3.4404761904761902,1.8888888888888888,3.5
17134,10520,15790,13583,1,1,1,3,1,114,1,0,0,0,0,1,4,1,4,1,1,0,0,0,0,0,0,1,0,0,0,0,21,61,45.75,50.5,0,2.5,2,0.2,0.2,0.2,0.25,9.15,1.3333333333333333,1.0
21995,25599,5920,11469,1,37,5,7,1,79,1,0,0,0,0,1,27,1,10,1,11,1,0,0,0,0,1,5,0,3,1,2,91,169,121.03703703703704,118.0,0,5.5,3,1.3214285714285714,0.17857142857142858,0.03571428571428571,0.125,4.322751322751323,3.857142857142857,1.0
